CIQUAL CODE 2020;CIQUAL NAME 2020;Present in Agribalyse 3.2
20219;Chou frisé, cuit;Oui
20221;Chou chinois (pak-choi ou pé-tsai), cuit;Oui
20241;Cardon, cuit;Oui
20242;Tomate, pulpe et peau, bouillie/cuite à l'eau;Oui
20243;Pois mange-tout ou pois gourmands, cuits;Oui
20255;Échalote, cuite;Oui
20257;Haricots verts, purée;Oui
20258;Légumes (3-4 sortes en mélange), purée;Oui
20259;Brocoli, purée;Oui
20260;Tomate, coulis, appertisé (purée de tomates mi-réduite à 11%);Oui
20261;Carotte, purée;Oui
20264;Courgette, purée;Oui
20268;Tomate, double concentré, appertisé;Oui
20271;Macédoine de légumes, surgelée, pré-cuite (à recuire);Oui
