Category;Category 2;AGB Code;CIQUAL Code;French name;English name;Recipe name;Recipe LCI name;Recipe origin;Proxy from another recipe
entrées et plats composés;feuilletées et autres entrées; 25583;25583;Nem ou Pâté impérial, au porc, cuit;Egg roll or Nem, with pork, cooked;Egg roll or Nem;Egg roll or Nem, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;feuilletées et autres entrées; 25584;25584;Nem ou Pâté impérial, aux crevettes et/ou au crabe, cuit;Egg roll or Nem, with shrimp and/or crab, cooked;Egg roll or Nem;Egg roll or Nem, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
viandes, œufs, poissons;œufs; 22502;22502;Oeuf, brouillé, avec matière grasse;Egg, scrambled, with added fat;Egg, scrambled, with added fat;Egg, scrambled, with added fat, recipe, at plant {FR} U;Agribalyse;
entrées et plats composés;plats composés; 25052;25052;Gratin d'aubergine;Eggplant au gratin (oven grilled);Vegetables au gratin (oven grilled);Vegetables au gratin (oven grilled), recipe, at plant {FR} U;Agribalyse - adapted from Marmiton;
boissons;boissons sans alcool; 18352;18352;Boisson énergisante, sucrée;Energy drink, with sugar;Energy drink, without sugar and with artificial sweetener(s);Energy drink, without sugar and with artificial sweetener(s), recipe, at plant {FR} U;Retailer for Agribalyse;
boissons;boissons sans alcool; 18353;18353;Boisson énergisante, non sucrée, avec édulcorants;Energy drink, without sugar and with artificial sweetener(s);Energy drink, without sugar and with artificial sweetener(s);Energy drink, without sugar and with artificial sweetener(s), recipe, at plant {FR} U;Retailer for Agribalyse;
produits céréaliers;pains et viennoiseries; 7257;7257;Muffin anglais, petit pain spécial, préemballé;English muffin, prepacked;Rolls for hamburger/hotdog (buns), prepacked;Rolls for hamburger/hotdog (buns), prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;pains et viennoiseries; 7256;7256;Muffin anglais, complet, petit pain spécial, préemballé;English muffin, wholewheat flour, prepacked;Rolls for hamburger/hotdog (buns), wholemeal, prepacked;Rolls for hamburger/hotdog (buns), wholemeal, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
viandes, œufs, poissons;autres produits à base de viande; 25089;25089;Cordon bleu de volaille;Escalope cordon bleu (topped with a ham slice and Gruyere sauce);Escalope cordon bleu (topped with a ham slice and Gruyere sauce);Escalope cordon bleu (topped with a ham slice and Gruyere sauce), recipe, at plant {FR} U;Retailer for Agribalyse;
viandes, œufs, poissons;produits à base de poissons et produits de la mer; 26231;26231;Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés;European pilchard or sardine, fillets without fishbone, in olive oil, canned, drained;European pilchard or sardine, in oil, canned;European pilchard or sardine, in oil, canned, recipe, at plant {FR} U;"CTCPA for Agribalyse - see specific report ""CTCPA pour Agribalyse V3.1 :  INVENTAIRES PRODUITS, PROCEDES ET DONNEES SUR LES PERTES ET LE STOCKAGE""";
viandes, œufs, poissons;produits à base de poissons et produits de la mer; 26034;26034;Sardine, à l'huile, appertisée, égouttée;European pilchard or sardine, in oil, canned, drained;European pilchard or sardine, in oil, canned;European pilchard or sardine, in oil, canned, recipe, at plant {FR} U;"CTCPA for Agribalyse - see specific report ""CTCPA pour Agribalyse V3.1 :  INVENTAIRES PRODUITS, PROCEDES ET DONNEES SUR LES PERTES ET LE STOCKAGE""";
viandes, œufs, poissons;produits à base de poissons et produits de la mer; 26040;26040;Sardine, à l'huile d'olive, appertisée, égouttée;European pilchard or sardine, in olive oil, canned, drained;European pilchard or sardine, in olive oil, canned;European pilchard or sardine, in olive oil, canned, recipe, at plant {FR} U;"Incyvie projet for Agribalyse - see specific report ""Projet Incyvie Lot n°1 : Amélioration de la base de données AGRIBALYSE. """;
viandes, œufs, poissons;produits à base de poissons et produits de la mer; 26035;26035;Sardine, sauce tomate, appertisée, égouttée;European pilchard or sardine, in tomato sauce, canned, drained;European pilchard or sardine, in oil, canned;European pilchard or sardine, in oil, canned, recipe, at plant {FR} U;"CTCPA for Agribalyse - see specific report ""CTCPA pour Agribalyse V3.1 :  INVENTAIRES PRODUITS, PROCEDES ET DONNEES SUR LES PERTES ET LE STOCKAGE""";
entrées et plats composés;pizzas, tartes et crêpes salées; 25460;25460;Fajitas;Fajitas;Fajitas;Fajitas, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
